plot,slugs_per_trap,soybean_density
1,1.693609158,28.26623899
2,9.177751987,7.233149693
3,10.42621732,6.426407405
4,3.693818763,26.81923601
5,2.693481233,28.58042385
6,1.338956225,29.48702029
7,2.787850042,34.3803311
8,7.416653655,18.99067108
9,1.228777435,35.20941319
10,1.083248266,31.97200616
11,4.926971972,24.68895644
12,9.138805593,22.18539257
13,4.762484554,28.64769465
14,4.808121837,22.6186288
15,3.649183776,22.26343878
16,5.393343164,21.31341035
17,5.576071512,21.16384574
18,6.407075472,20.572363
19,7.656798299,17.51410378
20,2.126989375,32.31181781
